Feature,Bootstrap_Log_Odds_Mean,Bootstrap_Log_Odds_Std,Bootstrap_Log_Odds_Lower_CI,Bootstrap_Log_Odds_Upper_CI,Significant
lsa(E),-1.6908,0.2998,-2.2848,-1.0974,True
 cps2G,-1.6507,0.2765,-2.2848,-1.1278,True
 Fhb_1,-1.6395,0.2627,-2.1615,-1.1278,True
tet(W),-1.6305,0.2833,-2.2848,-1.1876,True
 Cps2F,-1.618,0.292,-2.1729,-1.0678,True
 Cps2J,-1.6069,0.2571,-2.1615,-1.1278,True
 cps2L,-1.3885,0.2723,-1.9004,-0.8774,True
Tiamulin,-1.3658,0.2693,-1.85,-0.8525,True
 TraG,1.3452,0.2746,0.8525,1.9459,True
 Cps2E,-1.3015,0.2578,-1.7604,-0.8504,True
tet(M),-1.2113,0.2588,-1.7604,-0.6993,True
Oxytetracycline,1.1687,0.2586,0.6275,1.6761,True
 Hhly3,-1.168,0.2339,-1.6383,-0.7013,True
 NeuB,-1.1159,0.2766,-1.7604,-0.6527,True
 Ssads,-1.0492,0.2475,-1.5208,-0.6527,True
 Sbp2,-0.9958,0.2158,-1.3795,-0.5554,True
 Tran,-0.9093,0.2247,-1.3795,-0.533,True
ant(6)-Ia,-0.8735,0.2224,-1.3132,-0.5108,True
 RggTR,-0.8509,0.2225,-1.3132,-0.4407,True
Spectinomycin,-0.7512,0.2364,-1.2493,-0.4191,True
Doxycycline,0.7451,0.2213,0.3503,1.2493,True
 Cps9E,0.6087,0.2332,0.1525,1.0135,True
 1910HR,0.5834,0.2191,0.1963,0.9874,True
 1910HK,0.5798,0.2191,0.1963,0.9874,True
 SP1,0.5666,0.231,0.1963,1.1003,True
 gh92,0.5587,0.2237,0.1525,0.9874,True
 endoSS,0.5458,0.1987,0.1733,0.9585,True
 sly,0.5454,0.2451,0.1088,0.9049,True
 atl_2,0.5395,0.2191,0.1088,1.017,True
erm(B),0.4371,0.2159,-0.0239,0.7772,False
tet(O),-0.2162,0.2056,-0.6047,0.1755,False
 Sbp1,-0.1678,0.2078,-0.5823,0.2403,False
Tulathromycin,0.0634,0.2124,-0.2845,0.4647,False
