Feature,Clusters,NumClusters,Count,Percent_in_Clusters
 GdpP,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 GAPDH,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 adhE,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 Stk,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 ClpX,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 pepT,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 ClpP,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 DnaK,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 CodY,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 PepF,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 Eno,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 HAM1,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 Rex,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 HrcA,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 DnaJ,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 GntR,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 FlpS,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 VraSR,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 MsmK,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 OTC,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 argR,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 PGK,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 BgaC,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 DivIVA,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 FBPS,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 GroEL,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 EF-Tu,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 ABC_1,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 PDH,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 IMPDH_1,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 FBA,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,91,100.0
 lhk,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,90,98.9
 lhr,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,90,98.9
 srtA,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,90,98.9
 HP1538,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,90,98.9
 Stp,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,90,98.9
 GrpE,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,90,98.9
 pgdA,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,90,98.9
 ssnA,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,89,97.8
 SntA,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,89,97.8
 Zmp,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,89,97.8
 SspB,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,89,97.8
 Ssa,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,88,96.7
 dltA,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,85,93.41
Oxytetracycline,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,69,75.82
Doxycycline,"1, 2, 3, 4, 5, 6, 7, 8, 9",9,62,68.13
 ABC_2,"2, 3, 4, 5, 6, 7, 8, 9",8,85,93.41
 SsPep,"2, 3, 4, 5, 6, 7, 8, 9",8,83,91.21
 HtpsC,"2, 3, 4, 5, 6, 7, 8, 9",8,83,91.21
 abpb,"2, 3, 4, 5, 6, 7, 8, 9",8,82,90.11
 yzpA,"2, 3, 4, 5, 6, 7, 8, 9",8,82,90.11
 MRP,"2, 3, 4, 5, 6, 7, 8, 9",8,80,87.91
 ldeS,"2, 3, 4, 5, 6, 7, 8, 9",8,80,87.91
 TraG,"1, 3, 4, 5, 6, 7, 8, 9",8,72,79.12
 SP1,"1, 3, 4, 5, 6, 7, 9",7,58,63.74
 atl_2,"1, 2, 3, 5, 6, 7, 9",7,58,63.74
erm(B),"1, 2, 3, 5, 6, 7, 9",7,55,60.44
Tulathromycin,"1, 2, 3, 5, 6, 7, 9",7,47,51.65
tet(O),"1, 3, 5, 6, 7, 8, 9",7,40,43.96
 Cps9E,"1, 2, 4, 5, 6",5,59,64.84
 1910HR,"2, 5, 6, 7",4,58,63.74
 1910HK,"2, 5, 6, 7",4,58,63.74
 gh92,"2, 5, 6, 7",4,58,63.74
 endoSS,"2, 5, 6, 7",4,58,63.74
 sly,"2, 5, 6, 7",4,57,62.64
ant(6)-Ia,"1, 5, 6, 7",4,27,29.67
 NeuB,"3, 5, 8, 9",4,22,24.18
 Cps2E,"3, 5, 8, 9",4,19,20.88
 cps2L,"3, 5, 8, 9",4,19,20.88
 Sbp1,"2, 5, 6",3,42,46.15
Spectinomycin,"2, 5, 7",3,29,31.87
 RggTR,"1, 4, 6",3,28,30.77
 Ssads,"1, 6, 7",3,23,25.27
 Hhly3,"4, 5, 7",3,22,24.18
tet(M),"4, 5, 7",3,21,23.08
 Cps2F,"3, 8, 9",3,15,16.48
 cps2G,"3, 8, 9",3,15,16.48
 Cps2J,"3, 8, 9",3,15,16.48
 Tran,"5, 6",2,26,28.57
 Sbp2,"2, 5",2,24,26.37
Tiamulin,"1, 7",2,18,19.78
