Strain_ID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20
Strain_70,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
Strain_71,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1
Strain_72,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
Strain_73,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
Strain_74,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0
Strain_75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Strain_76,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1
Strain_77,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Strain_78,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1
Strain_79,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Strain_80,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
Strain_81,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
Strain_82,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1
Strain_83,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0
Strain_84,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0
Strain_85,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Strain_86,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Strain_87,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Strain_88,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
Strain_89,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
Strain_90,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Strain_91,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Strain_92,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0
Strain_93,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1
Strain_94,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Strain_95,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
Strain_96,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0
Strain_97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Strain_98,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
Strain_99,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
Strain_100,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0
Strain_101,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Strain_102,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Strain_103,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Strain_104,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1
Strain_105,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0
Strain_106,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1
Strain_107,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1
Strain_108,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1
Strain_109,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Strain_110,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0
Strain_111,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0
Strain_112,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
Strain_113,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
Strain_114,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Strain_115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_116,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Strain_117,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_118,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Strain_119,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
Strain_120,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Strain_121,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Strain_122,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0
Strain_123,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Strain_124,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1
Strain_125,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0
Strain_126,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1
Strain_127,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1
Strain_128,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Strain_129,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
Strain_130,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
Strain_131,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
Strain_132,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1
Strain_133,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
Strain_134,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Strain_135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Strain_136,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Strain_137,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0
Strain_138,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0
Strain_139,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Strain_140,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0
Strain_141,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Strain_142,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0
Strain_143,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Strain_144,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
Strain_145,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0
Strain_146,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0
Strain_147,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0
Strain_148,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1
Strain_149,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1
Strain_150,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1
Strain_151,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Strain_152,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Strain_153,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Strain_154,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
Strain_155,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Strain_156,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
Strain_157,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0
Strain_158,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
Strain_159,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Strain_160,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
Strain_161,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
Strain_162,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Strain_163,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Strain_164,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
Strain_165,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
Strain_166,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
Strain_167,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0
Strain_168,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Strain_169,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Strain_170,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0
Strain_171,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Strain_172,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1
Strain_173,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Strain_174,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0
Strain_175,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
Strain_176,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0
Strain_177,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Strain_178,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Strain_179,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0
Strain_180,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Strain_181,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0
Strain_182,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
Strain_183,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
Strain_184,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Strain_185,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
Strain_186,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0
Strain_187,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Strain_188,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Strain_189,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
Strain_190,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Strain_191,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Strain_192,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
Strain_193,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
Strain_194,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Strain_195,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1
Strain_196,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Strain_197,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Strain_198,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
Strain_199,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Strain_200,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
