Strain_ID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20
Strain_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Strain_32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strain_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Strain_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Strain_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strain_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Strain_46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Strain_47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Strain_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Strain_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Strain_53,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Strain_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Strain_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Strain_57,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Strain_58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Strain_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Strain_68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Strain_71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strain_75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Strain_76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Strain_78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Strain_79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Strain_82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Strain_86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Strain_89,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Strain_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Strain_92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Strain_93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Strain_94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Strain_98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_99,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Strain_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Strain_103,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Strain_104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Strain_105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_106,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Strain_108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Strain_112,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_113,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Strain_114,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Strain_115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Strain_116,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Strain_117,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Strain_120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Strain_121,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_123,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Strain_124,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_127,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Strain_128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Strain_129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strain_130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_132,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Strain_133,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Strain_134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Strain_136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Strain_137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_140,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_141,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Strain_143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_144,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_148,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Strain_149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Strain_152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Strain_154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_155,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Strain_156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Strain_158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Strain_160,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Strain_164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_165,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_166,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Strain_167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_168,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_169,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Strain_170,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Strain_171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_172,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Strain_173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Strain_174,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Strain_175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Strain_176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_177,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Strain_178,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Strain_179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_181,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Strain_182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_183,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Strain_184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_186,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Strain_187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_188,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Strain_190,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Strain_191,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Strain_192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_193,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Strain_194,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Strain_195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Strain_197,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_198,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Strain_199,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
