Strain_ID,Virulence_01,Virulence_02,Virulence_03,Virulence_04,Virulence_05,Virulence_06,Virulence_07,Virulence_08,Virulence_09,Virulence_10,Virulence_11,Virulence_12,Virulence_13,Virulence_14,Virulence_15,Virulence_16,Virulence_17,Virulence_18,Virulence_19,Virulence_20
Strain_0033,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1
Strain_0034,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Strain_0035,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0
Strain_0036,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Strain_0037,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Strain_0038,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Strain_0039,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
Strain_0040,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Strain_0041,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1
Strain_0042,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Strain_0043,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0
Strain_0044,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
Strain_0045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Strain_0046,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Strain_0047,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Strain_0048,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Strain_0049,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
Strain_0050,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1
Strain_0051,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1
Strain_0052,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
Strain_0053,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Strain_0054,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Strain_0055,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0056,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Strain_0057,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
Strain_0058,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Strain_0059,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Strain_0060,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
Strain_0061,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Strain_0062,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0
Strain_0063,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Strain_0064,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0
Strain_0065,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Strain_0066,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Strain_0067,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
Strain_0068,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Strain_0069,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Strain_0070,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Strain_0071,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0
Strain_0072,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Strain_0073,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1
Strain_0074,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Strain_0075,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Strain_0076,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Strain_0077,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Strain_0078,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Strain_0079,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0
Strain_0080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Strain_0081,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Strain_0082,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Strain_0083,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Strain_0084,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Strain_0085,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Strain_0086,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1
Strain_0087,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Strain_0088,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
Strain_0089,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Strain_0090,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Strain_0091,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Strain_0092,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
Strain_0093,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
Strain_0094,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Strain_0095,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
Strain_0096,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1
Strain_0097,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Strain_0098,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Strain_0099,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Strain_0100,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
