Cluster,Feature,Odds_Ratio,Log_Odds_Ratio,CI_low,CI_high
1, NisR,7.0,1.95,1.95,1.95
1, ABC_2,2.01,0.7,-0.31,1.23
1, Sbp1,0.04,-3.23,-3.69,-2.79
1, OppA,0.14,-1.95,-1.95,-1.95
1, endoSS,0.02,-4.09,-4.66,-3.59
1, PK,0.14,-1.95,-1.95,-1.95
1, KAR,0.14,-1.95,-1.95,-1.95
1, IMPDH_2,0.14,-1.95,-1.95,-1.95
1, GlnA,0.14,-1.95,-1.95,-1.95
1, HtpsA,0.14,-1.95,-1.95,-1.95
1, LuxS,0.14,-1.95,-1.95,-1.95
1, Ssads,0.11,-2.24,-2.74,-1.77
1, RelQ,0.14,-1.95,-1.95,-1.95
1, srtA,0.43,-0.83,-1.95,0.04
1, HP1083,0.14,-1.95,-1.95,-1.95
1, ciaR,0.14,-1.95,-1.95,-1.95
1, mnmE,0.14,-1.95,-1.95,-1.95
1, HP1538,0.43,-0.83,-1.95,0.04
1, CovR,0.14,-1.95,-1.95,-1.95
1, lytR,0.14,-1.95,-1.95,-1.95
1, RelA,0.14,-1.95,-1.95,-1.95
1, GidA,0.14,-1.95,-1.95,-1.95
1, GdpP,0.14,-1.95,-1.95,-1.95
1, Stp,0.43,-0.83,-1.95,0.04
1, GAPDH,0.14,-1.95,-1.95,-1.95
1, adhE,0.14,-1.95,-1.95,-1.95
1, Stk,0.14,-1.95,-1.95,-1.95
1, ClpX,0.14,-1.95,-1.95,-1.95
1, pepT,0.14,-1.95,-1.95,-1.95
1, ClpP,0.14,-1.95,-1.95,-1.95
1, SspB,0.73,-0.31,-1.95,0.52
1, DnaK,0.14,-1.95,-1.95,-1.95
1, CodY,0.14,-1.95,-1.95,-1.95
1, PepF,0.14,-1.95,-1.95,-1.95
1, Eno,0.14,-1.95,-1.95,-1.95
1, HAM1,0.14,-1.95,-1.95,-1.95
1, Rex,0.14,-1.95,-1.95,-1.95
1, HrcA,0.14,-1.95,-1.95,-1.95
1, GrpE,0.43,-0.83,-1.95,0.04
1, DnaJ,0.14,-1.95,-1.95,-1.95
1, GntR,0.14,-1.95,-1.95,-1.95
1, FlpS,0.14,-1.95,-1.95,-1.95
1, pgdA,0.43,-0.83,-1.95,0.04
1, VraSR,0.14,-1.95,-1.95,-1.95
1, MsmK,0.14,-1.95,-1.95,-1.95
1, OTC,0.14,-1.95,-1.95,-1.95
1, argR,0.14,-1.95,-1.95,-1.95
1, PGK,0.14,-1.95,-1.95,-1.95
1, BgaC,0.14,-1.95,-1.95,-1.95
1, DivIVA,0.14,-1.95,-1.95,-1.95
1, FBPS,0.14,-1.95,-1.95,-1.95
1, GroEL,0.14,-1.95,-1.95,-1.95
1, EF-Tu,0.14,-1.95,-1.95,-1.95
1, ABC_1,0.14,-1.95,-1.95,-1.95
1, PDH,0.14,-1.95,-1.95,-1.95
1, IMPDH_1,0.14,-1.95,-1.95,-1.95
1, FBA,0.14,-1.95,-1.95,-1.95
2, LDH,0.13,-2.05,-2.05,-2.05
2, Cps2E,0.15,-1.88,-2.41,-1.23
2, Cps2F,0.2,-1.59,-2.07,-1.01
2, Cps9E,13.79,2.62,2.25,3.07
2, manN,0.13,-2.05,-2.05,-2.05
2, ArcD,0.13,-2.05,-2.05,-2.05
2, SsPep,2.43,0.89,0.2,1.42
2, Fhb_1,33.77,3.52,2.08,5.68
2, agaR2,0.13,-2.05,-2.05,-2.05
2, Cps2B,0.13,-2.05,-2.05,-2.05
2, cps2G,0.2,-1.59,-2.01,-1.01
2, Cps2J,0.2,-1.59,-2.01,-1.01
2, cps2L,0.15,-1.88,-2.31,-1.42
2, NeuB,0.13,-2.07,-2.57,-1.66
2, MRP,3.43,1.23,0.59,1.74
2, SP1,14.51,2.67,2.25,3.07
2, ciaH,0.13,-2.05,-2.05,-2.05
2, prsA,0.13,-2.05,-2.05,-2.05
2, Ssa,0.94,-0.07,-2.05,0.75
2, abpb,2.75,1.01,0.2,1.59
2, sly,15.25,2.72,2.25,3.12
2, HtpsC,2.43,0.89,-0.07,1.42
2, lhk,0.39,-0.94,-2.05,-0.07
2, lhr,0.39,-0.94,-2.05,-0.07
2, 1910HR,14.51,2.67,2.25,3.12
2, 1910HK,14.51,2.67,2.13,3.12
2, ssnA,0.66,-0.41,-2.05,0.59
2, RggTR,72.08,4.28,3.73,4.86
2, SntA,0.66,-0.41,-2.05,0.41
2, Sbp2,0.39,-0.93,-2.47,0.34
2, TraG,6.55,1.88,1.33,2.31
2, hylA,2.56,0.94,-0.2,2.05
2, rfeA,1.51,0.41,-0.42,2.05
2, Tran,83.36,4.42,3.96,5.08
2, Hhly3,0.13,-2.07,-2.57,-1.59
2, yzpA,0.73,-0.31,-1.69,1.33
2, gh92,14.51,2.67,2.25,3.12
2, PnuC,2.56,0.94,0.07,2.05
2, cbp40omp40,1.51,0.41,-0.41,2.05
2, HP1717,0.13,-2.05,-2.05,-2.05
2, AtlAss,7.76,2.05,2.05,2.05
2, Fhbp,2.56,0.94,-0.2,2.05
2, Fhb_2,5.02,1.61,-0.2,3.26
2, ldeS,3.43,1.23,0.41,1.74
2, dltA,1.81,0.59,-0.41,1.23
2, SspA,0.13,-2.05,-2.05,-2.05
2, Zmp,0.66,-0.41,-2.05,0.41
2, atl_2,0.35,-1.05,-2.26,0.34
2, NisK,7.76,2.05,2.05,2.05
2, NisR,7.76,2.05,2.05,2.05
2, ABC_2,1.81,0.59,-0.41,1.13
2, Sbp1,31.98,3.47,3.02,3.9
2, OppA,0.13,-2.05,-2.05,-2.05
2, endoSS,14.51,2.67,2.25,3.07
2, PK,0.13,-2.05,-2.05,-2.05
2, KAR,0.13,-2.05,-2.05,-2.05
2, IMPDH_2,0.13,-2.05,-2.05,-2.05
2, GlnA,0.13,-2.05,-2.05,-2.05
2, HtpsA,0.13,-2.05,-2.05,-2.05
2, LuxS,0.13,-2.05,-2.05,-2.05
2, Ssads,14.59,2.68,1.46,4.76
2, RelQ,0.13,-2.05,-2.05,-2.05
2, srtA,0.39,-0.94,-2.05,-0.07
2, HP1083,0.13,-2.05,-2.05,-2.05
2, ciaR,0.13,-2.05,-2.05,-2.05
2, mnmE,0.13,-2.05,-2.05,-2.05
2, HP1538,0.39,-0.94,-2.05,-0.07
2, CovR,0.13,-2.05,-2.05,-2.05
2, lytR,0.13,-2.05,-2.05,-2.05
2, RelA,0.13,-2.05,-2.05,-2.05
2, GidA,0.13,-2.05,-2.05,-2.05
2, GdpP,0.13,-2.05,-2.05,-2.05
2, Stp,0.39,-0.94,-2.05,-0.07
2, GAPDH,0.13,-2.05,-2.05,-2.05
2, adhE,0.13,-2.05,-2.05,-2.05
2, Stk,0.13,-2.05,-2.05,-2.05
2, ClpX,0.13,-2.05,-2.05,-2.05
2, pepT,0.13,-2.05,-2.05,-2.05
2, ClpP,0.13,-2.05,-2.05,-2.05
2, SspB,0.66,-0.41,-2.05,0.41
2, DnaK,0.13,-2.05,-2.05,-2.05
2, CodY,0.13,-2.05,-2.05,-2.05
2, PepF,0.13,-2.05,-2.05,-2.05
2, Eno,0.13,-2.05,-2.05,-2.05
2, HAM1,0.13,-2.05,-2.05,-2.05
2, Rex,0.13,-2.05,-2.05,-2.05
2, HrcA,0.13,-2.05,-2.05,-2.05
2, GrpE,0.39,-0.94,-2.05,-0.07
2, DnaJ,0.13,-2.05,-2.05,-2.05
2, GntR,0.13,-2.05,-2.05,-2.05
2, FlpS,0.13,-2.05,-2.05,-2.05
2, pgdA,0.39,-0.94,-2.05,-0.07
2, VraSR,0.13,-2.05,-2.05,-2.05
2, MsmK,0.13,-2.05,-2.05,-2.05
2, OTC,0.13,-2.05,-2.05,-2.05
2, argR,0.13,-2.05,-2.05,-2.05
2, PGK,0.13,-2.05,-2.05,-2.05
2, BgaC,0.13,-2.05,-2.05,-2.05
2, DivIVA,0.13,-2.05,-2.05,-2.05
2, FBPS,0.13,-2.05,-2.05,-2.05
2, GroEL,0.13,-2.05,-2.05,-2.05
2, EF-Tu,0.13,-2.05,-2.05,-2.05
2, ABC_1,0.13,-2.05,-2.05,-2.05
2, PDH,0.13,-2.05,-2.05,-2.05
2, IMPDH_1,0.13,-2.05,-2.05,-2.05
2, FBA,0.13,-2.05,-2.05,-2.05
3, LDH,0.16,-1.85,-1.85,-1.85
3, Cps2E,0.12,-2.09,-2.57,-1.53
3, Cps2F,0.17,-1.79,-2.22,-1.21
3, Cps9E,0.01,-4.28,-4.81,-3.81
3, manN,0.16,-1.85,-1.85,-1.85
3, ArcD,0.16,-1.85,-1.85,-1.85
3, SsPep,2.97,1.09,-0.22,1.63
3, Fhb_1,4.85,1.58,0.16,3.0
3, agaR2,0.16,-1.85,-1.85,-1.85
3, Cps2B,0.16,-1.85,-1.85,-1.85
3, cps2G,0.17,-1.79,-2.22,-1.21
3, Cps2J,0.17,-1.79,-2.28,-1.21
3, cps2L,0.12,-2.09,-2.63,-1.53
3, NeuB,0.1,-2.28,-2.68,-1.79
3, MRP,4.2,1.43,0.79,1.95
3, SP1,18.01,2.89,2.51,3.29
3, ciaH,0.16,-1.85,-1.85,-1.85
3, prsA,0.16,-1.85,-1.85,-1.85
3, Ssa,1.14,0.13,-0.77,0.79
3, abpb,3.37,1.21,0.4,1.79
3, sly,18.96,2.94,2.51,3.34
3, HtpsC,2.97,1.09,0.13,1.71
3, lhk,0.48,-0.74,-1.85,0.13
3, lhr,0.48,-0.74,-1.85,0.14
3, 1910HR,5.25,1.66,0.46,3.19
3, 1910HK,5.25,1.66,0.5,3.14
3, ssnA,0.81,-0.22,-1.85,0.79
3, RggTR,0.07,-2.63,-3.05,-2.15
3, SntA,0.81,-0.22,-1.85,0.61
3, Sbp2,0.09,-2.4,-2.89,-1.87
3, TraG,8.06,2.09,1.53,2.57
3, hylA,2.09,0.74,-0.4,1.85
3, rfeA,1.24,0.22,-0.61,1.85
3, Tran,0.08,-2.52,-2.94,-2.02
3, Hhly3,22.68,3.12,1.9,5.01
3, yzpA,3.37,1.21,0.4,1.71
3, gh92,5.25,1.66,0.57,3.19
3, PnuC,2.09,0.74,-0.4,1.85
3, cbp40omp40,1.24,0.22,-0.79,1.85
3, HP1717,0.16,-1.85,-1.85,-1.85
3, AtlAss,6.36,1.85,1.85,1.85
3, Fhbp,2.09,0.74,-0.4,1.85
3, Fhb_2,0.87,-0.13,-0.95,0.77
3, ldeS,4.2,1.43,0.79,1.87
3, dltA,2.21,0.79,-0.23,1.53
3, SspA,0.16,-1.85,-1.85,-1.85
3, Zmp,0.81,-0.22,-1.85,0.62
3, atl_2,1.67,0.51,-0.7,1.81
3, NisK,6.36,1.85,1.85,1.85
3, NisR,6.36,1.85,1.85,1.85
3, ABC_2,2.21,0.79,-0.23,1.43
3, Sbp1,0.04,-3.34,-3.76,-2.94
3, OppA,0.16,-1.85,-1.85,-1.85
3, endoSS,5.25,1.66,0.56,3.09
3, PK,0.16,-1.85,-1.85,-1.85
3, KAR,0.16,-1.85,-1.85,-1.85
3, IMPDH_2,0.16,-1.85,-1.85,-1.85
3, GlnA,0.16,-1.85,-1.85,-1.85
3, HtpsA,0.16,-1.85,-1.85,-1.85
3, LuxS,0.16,-1.85,-1.85,-1.85
3, Ssads,20.69,3.03,2.06,4.91
3, RelQ,0.16,-1.85,-1.85,-1.85
3, srtA,0.48,-0.74,-1.85,0.13
3, HP1083,0.16,-1.85,-1.85,-1.85
3, ciaR,0.16,-1.85,-1.85,-1.85
3, mnmE,0.16,-1.85,-1.85,-1.85
3, HP1538,0.48,-0.74,-1.85,0.13
3, CovR,0.16,-1.85,-1.85,-1.85
3, lytR,0.16,-1.85,-1.85,-1.85
3, RelA,0.16,-1.85,-1.85,-1.85
3, GidA,0.16,-1.85,-1.85,-1.85
3, GdpP,0.16,-1.85,-1.85,-1.85
3, Stp,0.48,-0.74,-1.85,0.13
3, GAPDH,0.16,-1.85,-1.85,-1.85
3, adhE,0.16,-1.85,-1.85,-1.85
3, Stk,0.16,-1.85,-1.85,-1.85
3, ClpX,0.16,-1.85,-1.85,-1.85
3, pepT,0.16,-1.85,-1.85,-1.85
3, ClpP,0.16,-1.85,-1.85,-1.85
3, SspB,0.81,-0.22,-1.85,0.61
3, DnaK,0.16,-1.85,-1.85,-1.85
3, CodY,0.16,-1.85,-1.85,-1.85
3, PepF,0.16,-1.85,-1.85,-1.85
3, Eno,0.16,-1.85,-1.85,-1.85
3, HAM1,0.16,-1.85,-1.85,-1.85
3, Rex,0.16,-1.85,-1.85,-1.85
3, HrcA,0.16,-1.85,-1.85,-1.85
3, GrpE,0.48,-0.74,-1.85,0.4
3, DnaJ,0.16,-1.85,-1.85,-1.85
3, GntR,0.16,-1.85,-1.85,-1.85
3, FlpS,0.16,-1.85,-1.85,-1.85
3, pgdA,0.48,-0.74,-1.85,0.13
3, VraSR,0.16,-1.85,-1.85,-1.85
3, MsmK,0.16,-1.85,-1.85,-1.85
3, OTC,0.16,-1.85,-1.85,-1.85
3, argR,0.16,-1.85,-1.85,-1.85
3, PGK,0.16,-1.85,-1.85,-1.85
3, BgaC,0.16,-1.85,-1.85,-1.85
3, DivIVA,0.16,-1.85,-1.85,-1.85
3, FBPS,0.16,-1.85,-1.85,-1.85
3, GroEL,0.16,-1.85,-1.85,-1.85
3, EF-Tu,0.16,-1.85,-1.85,-1.85
3, ABC_1,0.16,-1.85,-1.85,-1.85
3, PDH,0.16,-1.85,-1.85,-1.85
3, IMPDH_1,0.16,-1.85,-1.85,-1.85
3, FBA,0.16,-1.85,-1.85,-1.85
4, LDH,0.23,-1.45,-1.45,-1.45
4, Cps2E,1.28,0.25,-0.98,1.28
4, Cps2F,0.38,-0.97,-2.58,0.25
4, Cps9E,1.84,0.61,-0.34,2.13
4, manN,0.23,-1.45,-1.45,-1.45
4, ArcD,0.23,-1.45,-1.45,-1.45
4, SsPep,4.47,1.5,0.8,2.04
4, Fhb_1,0.73,-0.31,-2.21,0.93
4, agaR2,0.23,-1.45,-1.45,-1.45
4, Cps2B,0.23,-1.45,-1.45,-1.45
4, cps2G,0.38,-0.97,-2.51,0.19
4, Cps2J,0.38,-0.97,-2.51,0.29
4, cps2L,1.28,0.25,-1.28,1.32
4, NeuB,1.45,0.37,-1.05,1.32
4, MRP,6.34,1.85,1.36,2.37
4, SP1,28.25,3.34,2.89,3.77
4, ciaH,0.23,-1.45,-1.45,-1.45
4, prsA,0.23,-1.45,-1.45,-1.45
4, Ssa,1.71,0.54,-1.45,1.36
4, abpb,1.41,0.34,-0.93,1.95
4, sly,29.81,3.4,2.95,3.93
4, HtpsC,4.47,1.5,0.54,2.13
4, lhk,0.71,-0.34,-1.45,0.54
4, lhr,0.71,-0.34,-1.45,0.8
4, 1910HR,28.25,3.34,2.83,3.72
4, 1910HK,28.25,3.34,2.83,3.72
4, ssnA,1.21,0.19,-1.45,1.02
4, RggTR,0.16,-1.85,-3.45,-0.75
4, SntA,1.21,0.19,-1.45,1.02
4, Sbp2,8.06,2.09,1.18,3.35
4, TraG,12.3,2.51,2.04,2.95
4, hylA,13.55,2.61,1.45,3.58
4, rfeA,4.45,1.49,-0.2,3.19
4, Tran,67.57,4.21,3.17,6.09
4, Hhly3,1.02,0.02,-1.35,1.16
4, yzpA,5.08,1.62,0.8,2.21
4, gh92,28.25,3.34,2.89,3.77
4, PnuC,13.55,2.61,1.45,3.58
4, cbp40omp40,24.03,3.18,1.45,3.91
4, HP1717,0.23,-1.45,-1.45,-1.45
4, AtlAss,4.26,1.45,1.45,1.45
4, Fhbp,13.55,2.61,1.45,3.59
4, Fhb_2,7.9,2.07,0.34,3.91
4, ldeS,0.53,-0.64,-1.86,1.62
4, dltA,3.32,1.2,0.19,1.85
4, SspA,0.23,-1.45,-1.45,-1.45
4, Zmp,0.22,-1.49,-3.18,0.54
4, atl_2,4.49,1.5,0.55,3.61
4, NisK,4.26,1.45,1.45,1.45
4, NisR,4.26,1.45,1.45,1.45
4, ABC_2,3.32,1.2,0.19,1.85
4, Sbp1,4.63,1.53,0.71,3.12
4, OppA,0.23,-1.45,-1.45,-1.45
4, endoSS,28.25,3.34,2.95,3.77
4, PK,0.23,-1.45,-1.45,-1.45
4, KAR,0.23,-1.45,-1.45,-1.45
4, IMPDH_2,0.23,-1.45,-1.45,-1.45
4, GlnA,0.23,-1.45,-1.45,-1.45
4, HtpsA,0.23,-1.45,-1.45,-1.45
4, LuxS,0.23,-1.45,-1.45,-1.45
4, Ssads,0.06,-2.77,-3.34,-2.37
4, RelQ,0.23,-1.45,-1.45,-1.45
4, srtA,0.71,-0.34,-1.45,0.54
4, HP1083,0.23,-1.45,-1.45,-1.45
4, ciaR,0.23,-1.45,-1.45,-1.45
4, mnmE,0.23,-1.45,-1.45,-1.45
4, HP1538,0.71,-0.34,-1.45,0.54
4, CovR,0.23,-1.45,-1.45,-1.45
4, lytR,0.23,-1.45,-1.45,-1.45
4, RelA,0.23,-1.45,-1.45,-1.45
4, GidA,0.23,-1.45,-1.45,-1.45
4, GdpP,0.23,-1.45,-1.45,-1.45
4, Stp,0.71,-0.34,-1.45,0.54
4, GAPDH,0.23,-1.45,-1.45,-1.45
4, adhE,0.23,-1.45,-1.45,-1.45
4, Stk,0.23,-1.45,-1.45,-1.45
4, ClpX,0.23,-1.45,-1.45,-1.45
4, pepT,0.23,-1.45,-1.45,-1.45
4, ClpP,0.23,-1.45,-1.45,-1.45
4, SspB,1.21,0.19,-1.45,1.02
4, DnaK,0.23,-1.45,-1.45,-1.45
4, CodY,0.23,-1.45,-1.45,-1.45
4, PepF,0.23,-1.45,-1.45,-1.45
4, Eno,0.23,-1.45,-1.45,-1.45
4, HAM1,0.23,-1.45,-1.45,-1.45
4, Rex,0.23,-1.45,-1.45,-1.45
4, HrcA,0.23,-1.45,-1.45,-1.45
4, GrpE,0.71,-0.34,-1.45,0.54
4, DnaJ,0.23,-1.45,-1.45,-1.45
4, GntR,0.23,-1.45,-1.45,-1.45
4, FlpS,0.23,-1.45,-1.45,-1.45
4, pgdA,0.71,-0.34,-1.45,0.54
4, VraSR,0.23,-1.45,-1.45,-1.45
4, MsmK,0.23,-1.45,-1.45,-1.45
4, OTC,0.23,-1.45,-1.45,-1.45
4, argR,0.23,-1.45,-1.45,-1.45
4, PGK,0.23,-1.45,-1.45,-1.45
4, BgaC,0.23,-1.45,-1.45,-1.45
4, DivIVA,0.23,-1.45,-1.45,-1.45
4, FBPS,0.23,-1.45,-1.45,-1.45
4, GroEL,0.23,-1.45,-1.45,-1.45
4, EF-Tu,0.23,-1.45,-1.45,-1.45
4, ABC_1,0.23,-1.45,-1.45,-1.45
4, PDH,0.23,-1.45,-1.45,-1.45
4, IMPDH_1,0.23,-1.45,-1.45,-1.45
4, FBA,0.23,-1.45,-1.45,-1.45
5, LDH,0.05,-2.97,-2.97,-2.97
5, Cps2E,0.39,-0.94,-1.46,-0.4
5, Cps2F,0.52,-0.65,-1.25,-0.08
5, Cps9E,1.3,0.26,-1.38,1.99
5, manN,0.05,-2.97,-2.97,-2.97
5, ArcD,0.05,-2.97,-2.97,-2.97
5, SsPep,0.96,-0.04,-0.99,0.49
5, Fhb_1,0.52,-0.65,-1.13,-0.09
5, agaR2,0.05,-2.97,-2.97,-2.97
5, Cps2B,0.05,-2.97,-2.97,-2.97
5, cps2G,0.52,-0.65,-1.13,0.04
5, Cps2J,0.52,-0.65,-1.19,0.04
5, cps2L,0.39,-0.94,-1.41,-0.4
5, NeuB,1.33,0.28,-1.36,2.39
5, MRP,0.01,-4.57,-5.38,-3.82
5, SP1,1.37,0.31,-1.29,1.95
5, ciaH,0.05,-2.97,-2.97,-2.97
5, prsA,0.05,-2.97,-2.97,-2.97
5, Ssa,0.37,-0.99,-2.97,-0.33
5, abpb,0.25,-1.39,-3.23,0.4
5, sly,0.59,-0.54,-2.73,1.76
5, HtpsC,0.22,-1.53,-3.22,0.2
5, lhk,0.16,-1.86,-2.97,-0.98
5, lhr,0.16,-1.86,-2.97,-0.72
5, 1910HR,5.53,1.71,1.24,2.13
5, 1910HK,5.53,1.71,1.24,2.08
5, ssnA,0.26,-1.34,-2.97,-0.51
5, RggTR,0.23,-1.46,-1.9,-1.0
5, SntA,0.26,-1.34,-2.97,-0.51
5, Sbp2,0.29,-1.24,-1.61,-0.73
5, TraG,2.56,0.94,0.4,1.41
5, hylA,6.41,1.86,0.72,2.97
5, rfeA,3.8,1.34,0.51,2.97
5, Tran,0.26,-1.36,-1.76,-0.8
5, Hhly3,1.33,0.28,-1.36,1.87
5, yzpA,0.25,-1.39,-3.38,0.3
5, gh92,5.53,1.71,1.24,2.13
5, PnuC,6.41,1.86,0.98,2.97
5, cbp40omp40,3.8,1.34,0.51,2.97
5, HP1717,0.05,-2.97,-2.97,-2.97
5, AtlAss,19.44,2.97,2.97,2.97
5, Fhbp,6.41,1.86,0.99,2.97
5, Fhb_2,2.68,0.99,0.18,2.97
5, ldeS,0.32,-1.15,-3.09,0.8
5, dltA,0.16,-1.86,-3.56,-0.17
5, SspA,0.05,-2.97,-2.97,-2.97
5, Zmp,0.26,-1.34,-2.97,-0.51
5, atl_2,0.56,-0.58,-2.88,1.76
5, NisK,19.44,2.97,2.97,2.97
5, NisR,19.44,2.97,2.97,2.97
5, ABC_2,0.72,-0.33,-1.34,0.3
5, Sbp1,1.17,0.16,-2.13,2.22
5, OppA,0.05,-2.97,-2.97,-2.97
5, endoSS,5.53,1.71,1.3,2.22
5, PK,0.05,-2.97,-2.97,-2.97
5, KAR,0.05,-2.97,-2.97,-2.97
5, IMPDH_2,0.05,-2.97,-2.97,-2.97
5, GlnA,0.05,-2.97,-2.97,-2.97
5, HtpsA,0.05,-2.97,-2.97,-2.97
5, LuxS,0.05,-2.97,-2.97,-2.97
5, Ssads,0.3,-1.19,-1.61,-0.73
5, RelQ,0.05,-2.97,-2.97,-2.97
5, srtA,0.16,-1.86,-2.97,-0.99
5, HP1083,0.05,-2.97,-2.97,-2.97
5, ciaR,0.05,-2.97,-2.97,-2.97
5, mnmE,0.05,-2.97,-2.97,-2.97
5, HP1538,0.16,-1.86,-2.97,-0.99
5, CovR,0.05,-2.97,-2.97,-2.97
5, lytR,0.05,-2.97,-2.97,-2.97
5, RelA,0.05,-2.97,-2.97,-2.97
5, GidA,0.05,-2.97,-2.97,-2.97
5, GdpP,0.05,-2.97,-2.97,-2.97
5, Stp,0.16,-1.86,-2.97,-0.99
5, GAPDH,0.05,-2.97,-2.97,-2.97
5, adhE,0.05,-2.97,-2.97,-2.97
5, Stk,0.05,-2.97,-2.97,-2.97
5, ClpX,0.05,-2.97,-2.97,-2.97
5, pepT,0.05,-2.97,-2.97,-2.97
5, ClpP,0.05,-2.97,-2.97,-2.97
5, SspB,0.26,-1.34,-2.97,-0.72
5, DnaK,0.05,-2.97,-2.97,-2.97
5, CodY,0.05,-2.97,-2.97,-2.97
5, PepF,0.05,-2.97,-2.97,-2.97
5, Eno,0.05,-2.97,-2.97,-2.97
5, HAM1,0.05,-2.97,-2.97,-2.97
5, Rex,0.05,-2.97,-2.97,-2.97
5, HrcA,0.05,-2.97,-2.97,-2.97
5, GrpE,0.16,-1.86,-2.97,-0.99
5, DnaJ,0.05,-2.97,-2.97,-2.97
5, GntR,0.05,-2.97,-2.97,-2.97
5, FlpS,0.05,-2.97,-2.97,-2.97
5, pgdA,0.16,-1.86,-2.97,-0.72
5, VraSR,0.05,-2.97,-2.97,-2.97
5, MsmK,0.05,-2.97,-2.97,-2.97
5, OTC,0.05,-2.97,-2.97,-2.97
5, argR,0.05,-2.97,-2.97,-2.97
5, PGK,0.05,-2.97,-2.97,-2.97
5, BgaC,0.05,-2.97,-2.97,-2.97
5, DivIVA,0.05,-2.97,-2.97,-2.97
5, FBPS,0.05,-2.97,-2.97,-2.97
5, GroEL,0.05,-2.97,-2.97,-2.97
5, EF-Tu,0.05,-2.97,-2.97,-2.97
5, ABC_1,0.05,-2.97,-2.97,-2.97
5, PDH,0.05,-2.97,-2.97,-2.97
5, IMPDH_1,0.05,-2.97,-2.97,-2.97
5, FBA,0.05,-2.97,-2.97,-2.97
6, LDH,0.19,-1.68,-1.68,-1.68
6, Cps2E,382.27,5.95,5.34,7.3
6, Cps2F,1479.0,7.3,6.42,8.41
6, Cps9E,0.01,-4.54,-5.12,-4.03
6, manN,0.19,-1.68,-1.68,-1.68
6, ArcD,0.19,-1.68,-1.68,-1.68
6, SsPep,3.55,1.27,0.31,1.89
6, Fhb_1,0.14,-1.97,-2.47,-1.39
6, agaR2,0.19,-1.68,-1.68,-1.68
6, Cps2B,0.19,-1.68,-1.68,-1.68
6, cps2G,1479.0,7.3,6.42,8.41
6, Cps2J,1479.0,7.3,6.43,8.41
6, cps2L,382.27,5.95,5.34,7.3
6, NeuB,237.12,5.47,4.84,6.16
6, MRP,5.02,1.61,0.97,2.13
6, SP1,0.18,-1.69,-3.3,-0.66
6, ciaH,0.19,-1.68,-1.68,-1.68
6, prsA,0.19,-1.68,-1.68,-1.68
6, Ssa,1.36,0.31,-1.68,0.97
6, abpb,4.02,1.39,0.57,1.81
6, sly,0.01,-4.4,-4.93,-3.97
6, HtpsC,3.55,1.27,0.57,1.81
6, lhk,0.57,-0.56,-1.68,0.32
6, lhr,0.57,-0.56,-1.68,0.31
