Feature,ClusterA,ClusterB,Chi2,P_Value,Adjusted_P,FDR_Rejected
Ceftiofur,3,9,,1.0,1.0,False
Ceftiofur,4,5,,1.0,1.0,False
Ceftiofur,4,6,,1.0,1.0,False
Ceftiofur,4,7,,1.0,1.0,False
Ceftiofur,4,8,,1.0,1.0,False
Ceftiofur,4,9,,0.23,1.0,False
Ceftiofur,5,6,,1.0,1.0,False
Ceftiofur,5,7,,1.0,1.0,False
Ceftiofur,5,8,,1.0,1.0,False
Ceftiofur,5,9,,1.0,1.0,False
Ceftiofur,6,7,,1.0,1.0,False
Ceftiofur,6,8,,1.0,1.0,False
Ceftiofur,6,9,,1.0,1.0,False
Ceftiofur,7,8,,1.0,1.0,False
Ceftiofur,7,9,,1.0,1.0,False
Ceftiofur,8,9,,1.0,1.0,False
Doxycycline,1,2,,1.0,1.0,False
Doxycycline,1,3,,1.0,1.0,False
Doxycycline,1,4,,0.0,0.0,True
Doxycycline,1,5,,1.0,1.0,False
Doxycycline,1,6,,1.0,1.0,False
Doxycycline,1,7,,0.0,0.0,True
Doxycycline,1,8,,1.0,1.0,False
Doxycycline,1,9,,0.25,1.0,False
Doxycycline,2,3,,1.0,1.0,False
Doxycycline,2,4,,0.0,0.0,True
Doxycycline,2,5,,1.0,1.0,False
Doxycycline,2,6,,1.0,1.0,False
Doxycycline,2,7,,0.0,0.0,True
Doxycycline,2,8,,1.0,1.0,False
Doxycycline,2,9,,0.21,1.0,False
Doxycycline,3,4,,0.0,0.0,True
Doxycycline,3,5,,1.0,1.0,False
Doxycycline,3,6,,1.0,1.0,False
Doxycycline,3,7,,0.01,0.073125,False
Doxycycline,3,8,,1.0,1.0,False
Doxycycline,3,9,,1.0,1.0,False
Doxycycline,4,5,,0.0,0.0,True
Doxycycline,4,6,,0.0,0.0,True
Doxycycline,4,7,,1.0,1.0,False
Doxycycline,4,8,,0.06,0.37439999999999996,False
Doxycycline,4,9,,0.0,0.0,True
Doxycycline,5,6,,1.0,1.0,False
Doxycycline,5,7,,0.0,0.0,True
Doxycycline,5,8,,1.0,1.0,False
Doxycycline,5,9,,1.0,1.0,False
Doxycycline,6,7,,0.0,0.0,True
Doxycycline,6,8,,1.0,1.0,False
Doxycycline,6,9,,0.3,1.0,False
Doxycycline,7,8,,0.14,0.78,False
Doxycycline,7,9,,0.0,0.0,True
Doxycycline,8,9,,1.0,1.0,False
Enrofloxacin,1,2,,1.0,1.0,False
Enrofloxacin,1,3,,0.23,1.0,False
Enrofloxacin,1,4,,1.0,1.0,False
Enrofloxacin,1,5,,1.0,1.0,False
Enrofloxacin,1,6,,1.0,1.0,False
Enrofloxacin,1,7,,1.0,1.0,False
Enrofloxacin,1,8,,0.09,0.54,False
Enrofloxacin,1,9,,1.0,1.0,False
Enrofloxacin,2,3,,0.18,0.8684536082474226,False
Enrofloxacin,2,4,,1.0,1.0,False
Enrofloxacin,2,5,,1.0,1.0,False
Enrofloxacin,2,6,,1.0,1.0,False
Enrofloxacin,2,7,,1.0,1.0,False
Enrofloxacin,2,8,,0.07,0.4254545454545455,False
Enrofloxacin,2,9,,1.0,1.0,False
Enrofloxacin,3,4,,0.15,0.8068965517241379,False
Enrofloxacin,3,5,,0.38,1.0,False
Enrofloxacin,3,6,,0.3,1.0,False
Enrofloxacin,3,7,,0.33,1.0,False
Enrofloxacin,3,8,,1.0,1.0,False
Enrofloxacin,3,9,,0.16,0.8463829787234043,False
Enrofloxacin,4,5,,1.0,1.0,False
Enrofloxacin,4,6,,1.0,1.0,False
Enrofloxacin,4,7,,1.0,1.0,False
Enrofloxacin,4,8,,0.06,0.37439999999999996,False
Enrofloxacin,4,9,,1.0,1.0,False
Enrofloxacin,5,6,,1.0,1.0,False
Enrofloxacin,5,7,,1.0,1.0,False
Enrofloxacin,5,8,,0.17,0.8463829787234043,False
Enrofloxacin,5,9,,1.0,1.0,False
Enrofloxacin,6,7,,1.0,1.0,False
Enrofloxacin,6,8,,0.12,0.6848780487804879,False
Enrofloxacin,6,9,,1.0,1.0,False
Enrofloxacin,7,8,,0.14,0.78,False
Enrofloxacin,7,9,,1.0,1.0,False
Enrofloxacin,8,9,,0.06,0.37439999999999996,False
Florfenicol,1,2,,1.0,1.0,False
Florfenicol,1,3,,1.0,1.0,False
Florfenicol,1,4,,1.0,1.0,False
Florfenicol,1,5,,1.0,1.0,False
Florfenicol,1,6,,0.24,1.0,False
Florfenicol,1,7,,1.0,1.0,False
Florfenicol,1,8,,1.0,1.0,False
Florfenicol,1,9,,1.0,1.0,False
Florfenicol,2,3,,1.0,1.0,False
Florfenicol,2,4,,1.0,1.0,False
Florfenicol,2,5,,1.0,1.0,False
Florfenicol,2,6,,0.33,1.0,False
Florfenicol,2,7,,1.0,1.0,False
Florfenicol,2,8,,1.0,1.0,False
Florfenicol,2,9,,1.0,1.0,False
Florfenicol,3,4,,1.0,1.0,False
Florfenicol,3,5,,1.0,1.0,False
Florfenicol,3,6,,1.0,1.0,False
Florfenicol,3,7,,1.0,1.0,False
Florfenicol,3,8,,1.0,1.0,False
Florfenicol,3,9,,1.0,1.0,False
Florfenicol,4,5,,1.0,1.0,False
Florfenicol,4,6,,0.29,1.0,False
Florfenicol,4,7,,1.0,1.0,False
Florfenicol,4,8,,1.0,1.0,False
Florfenicol,4,9,,1.0,1.0,False
Florfenicol,5,6,,1.0,1.0,False
Florfenicol,5,7,,1.0,1.0,False
Florfenicol,5,8,,1.0,1.0,False
Florfenicol,5,9,,1.0,1.0,False
Florfenicol,6,7,,1.0,1.0,False
Florfenicol,6,8,,1.0,1.0,False
Florfenicol,6,9,,0.3,1.0,False
Florfenicol,7,8,,1.0,1.0,False
Florfenicol,7,9,,1.0,1.0,False
Florfenicol,8,9,,1.0,1.0,False
Gentamicin,1,2,,1.0,1.0,False
Gentamicin,1,3,,1.0,1.0,False
Gentamicin,1,4,,1.0,1.0,False
Gentamicin,1,5,,1.0,1.0,False
Gentamicin,1,6,,1.0,1.0,False
Gentamicin,1,7,,1.0,1.0,False
Gentamicin,1,8,,1.0,1.0,False
Gentamicin,1,9,,0.42,1.0,False
Gentamicin,2,3,,1.0,1.0,False
Gentamicin,2,4,,1.0,1.0,False
Gentamicin,2,5,,1.0,1.0,False
Gentamicin,2,6,,1.0,1.0,False
Gentamicin,2,7,,1.0,1.0,False
Gentamicin,2,8,,1.0,1.0,False
Gentamicin,2,9,,1.0,1.0,False
Gentamicin,3,4,,1.0,1.0,False
Gentamicin,3,5,,1.0,1.0,False
Gentamicin,3,6,,1.0,1.0,False
Gentamicin,3,7,,1.0,1.0,False
Gentamicin,3,8,,1.0,1.0,False
Gentamicin,3,9,,1.0,1.0,False
Gentamicin,4,5,,1.0,1.0,False
Gentamicin,4,6,,1.0,1.0,False
Gentamicin,4,7,,1.0,1.0,False
Gentamicin,4,8,,1.0,1.0,False
Gentamicin,4,9,,0.48,1.0,False
Gentamicin,5,6,,1.0,1.0,False
Gentamicin,5,7,,1.0,1.0,False
Gentamicin,5,8,,1.0,1.0,False
Gentamicin,5,9,,1.0,1.0,False
Gentamicin,6,7,,1.0,1.0,False
Gentamicin,6,8,,1.0,1.0,False
Gentamicin,6,9,,1.0,1.0,False
Gentamicin,7,8,,1.0,1.0,False
Gentamicin,7,9,,1.0,1.0,False
Gentamicin,8,9,,1.0,1.0,False
Oxytetracycline,1,2,,1.0,1.0,False
Oxytetracycline,1,3,,1.0,1.0,False
Oxytetracycline,1,4,,0.0,0.0,True
Oxytetracycline,1,5,,1.0,1.0,False
Oxytetracycline,1,6,,1.0,1.0,False
Oxytetracycline,1,7,,0.0,0.0,True
Oxytetracycline,1,8,,1.0,1.0,False
Oxytetracycline,1,9,,1.0,1.0,False
Oxytetracycline,2,3,,1.0,1.0,False
Oxytetracycline,2,4,,0.0,0.0,True
Oxytetracycline,2,5,,1.0,1.0,False
Oxytetracycline,2,6,,1.0,1.0,False
Oxytetracycline,2,7,,0.0,0.0,True
Oxytetracycline,2,8,,1.0,1.0,False
Oxytetracycline,2,9,,1.0,1.0,False
Oxytetracycline,3,4,,0.0,0.0,True
Oxytetracycline,3,5,,1.0,1.0,False
Oxytetracycline,3,6,,1.0,1.0,False
Oxytetracycline,3,7,,0.05,0.3342857142857143,False
Oxytetracycline,3,8,,1.0,1.0,False
Oxytetracycline,3,9,,1.0,1.0,False
Oxytetracycline,4,5,,0.0,0.0,True
Oxytetracycline,4,6,,0.0,0.0,True
Oxytetracycline,4,7,,0.26,1.0,False
Oxytetracycline,4,8,,0.06,0.37439999999999996,False
Oxytetracycline,4,9,,0.0,0.0,True
Oxytetracycline,5,6,,1.0,1.0,False
Oxytetracycline,5,7,,0.02,0.1376470588235294,False
Oxytetracycline,5,8,,1.0,1.0,False
Oxytetracycline,5,9,,1.0,1.0,False
Oxytetracycline,6,7,,0.0,0.0,True
Oxytetracycline,6,8,,1.0,1.0,False
Oxytetracycline,6,9,,1.0,1.0,False
Oxytetracycline,7,8,,0.29,1.0,False
Oxytetracycline,7,9,,0.0,0.0,True
Oxytetracycline,8,9,,1.0,1.0,False
Penicillin,1,2,,1.0,1.0,False
Penicillin,1,3,,0.12,0.6848780487804879,False
Penicillin,1,4,,1.0,1.0,False
Penicillin,1,5,,1.0,1.0,False
Penicillin,1,6,,1.0,1.0,False
Penicillin,1,7,,1.0,1.0,False
Penicillin,1,8,,1.0,1.0,False
Penicillin,1,9,,0.17,0.8463829787234043,False
Penicillin,2,3,,0.18,0.8684536082474226,False
Penicillin,2,4,,1.0,1.0,False
Penicillin,2,5,,1.0,1.0,False
Penicillin,2,6,,1.0,1.0,False
Penicillin,2,7,,1.0,1.0,False
Penicillin,2,8,,1.0,1.0,False
Penicillin,2,9,,0.49,1.0,False
Penicillin,3,4,,0.15,0.8068965517241379,False
Penicillin,3,5,,0.38,1.0,False
Penicillin,3,6,,0.3,1.0,False
Penicillin,3,7,,0.33,1.0,False
Penicillin,3,8,,1.0,1.0,False
Penicillin,3,9,,0.42,1.0,False
Penicillin,4,5,,1.0,1.0,False
Penicillin,4,6,,1.0,1.0,False
Penicillin,4,7,,1.0,1.0,False
Penicillin,4,8,,1.0,1.0,False
Penicillin,4,9,,0.23,1.0,False
Penicillin,5,6,,1.0,1.0,False
Penicillin,5,7,,1.0,1.0,False
Penicillin,5,8,,1.0,1.0,False
Penicillin,5,9,,1.0,1.0,False
Penicillin,6,7,,1.0,1.0,False
Penicillin,6,8,,1.0,1.0,False
Penicillin,6,9,,1.0,1.0,False
Penicillin,7,8,,1.0,1.0,False
Penicillin,7,9,,1.0,1.0,False
Penicillin,8,9,,1.0,1.0,False
Spectinomycin,1,2,,0.0,0.0,True
Spectinomycin,1,3,,1.0,1.0,False
Spectinomycin,1,4,,1.0,1.0,False
Spectinomycin,1,5,,0.0,0.0,True
Spectinomycin,1,6,,0.0,0.0,True
Spectinomycin,1,7,,0.39,1.0,False
Spectinomycin,1,8,,1.0,1.0,False
Spectinomycin,1,9,,1.0,1.0,False
Spectinomycin,2,3,,0.0,0.0,True
Spectinomycin,2,4,,0.0,0.0,True
Spectinomycin,2,5,,1.0,1.0,False
Spectinomycin,2,6,,1.0,1.0,False
Spectinomycin,2,7,,0.0,0.0,True
Spectinomycin,2,8,,0.07,0.4254545454545455,False
Spectinomycin,2,9,,0.0,0.0,True
Spectinomycin,3,4,,1.0,1.0,False
Spectinomycin,3,5,,0.02,0.1376470588235294,False
Spectinomycin,3,6,,0.01,0.073125,False
Spectinomycin,3,7,,1.0,1.0,False
Spectinomycin,3,8,,1.0,1.0,False
Spectinomycin,3,9,,1.0,1.0,False
Spectinomycin,4,5,,0.0,0.0,True
Spectinomycin,4,6,,0.0,0.0,True
Spectinomycin,4,7,,0.46,1.0,False
Spectinomycin,4,8,,1.0,1.0,False
Spectinomycin,4,9,,1.0,1.0,False
Spectinomycin,5,6,,1.0,1.0,False
Spectinomycin,5,7,,0.02,0.1376470588235294,False
Spectinomycin,5,8,,0.17,0.8463829787234043,False
Spectinomycin,5,9,,0.0,0.0,True
Spectinomycin,6,7,,0.0,0.0,True
Spectinomycin,6,8,,0.12,0.6848780487804879,False
Spectinomycin,6,9,,0.0,0.0,True
Spectinomycin,7,8,,1.0,1.0,False
Spectinomycin,7,9,,0.27,1.0,False
Spectinomycin,8,9,,1.0,1.0,False
Tiamulin,1,2,,1.0,1.0,False
Tiamulin,1,3,,0.0,0.0,True
Tiamulin,1,4,,0.57,1.0,False
Tiamulin,1,5,,0.0,0.0,True
Tiamulin,1,6,,0.0,0.0,True
Tiamulin,1,7,,1.0,1.0,False
Tiamulin,1,8,,1.0,1.0,False
Tiamulin,1,9,,1.0,1.0,False
Tiamulin,2,3,,0.0,0.0,True
Tiamulin,2,4,,0.49,1.0,False
Tiamulin,2,5,,0.0,0.0,True
Tiamulin,2,6,,0.0,0.0,True
Tiamulin,2,7,,1.0,1.0,False
Tiamulin,2,8,,1.0,1.0,False
Tiamulin,2,9,,1.0,1.0,False
Tiamulin,3,4,,0.01,0.073125,False
Tiamulin,3,5,,1.0,1.0,False
Tiamulin,3,6,,1.0,1.0,False
Tiamulin,3,7,,0.01,0.073125,False
Tiamulin,3,8,,0.25,1.0,False
Tiamulin,3,9,,0.0,0.0,True
Tiamulin,4,5,,0.0,0.0,True
Tiamulin,4,6,,0.0,0.0,True
Tiamulin,4,7,,1.0,1.0,False
Tiamulin,4,8,,1.0,1.0,False
Tiamulin,4,9,,0.48,1.0,False
Tiamulin,5,6,,1.0,1.0,False
Tiamulin,5,7,,0.0,0.0,True
Tiamulin,5,8,,0.17,0.8463829787234043,False
Tiamulin,5,9,,0.0,0.0,True
Tiamulin,6,7,,0.0,0.0,True
Tiamulin,6,8,,0.12,0.6848780487804879,False
Tiamulin,6,9,,0.0,0.0,True
Tiamulin,7,8,,1.0,1.0,False
Tiamulin,7,9,,1.0,1.0,False
Tiamulin,8,9,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,1,2,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,1,3,,0.23,1.0,False
Trimethoprim_Sulphamethoxazole,1,4,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,1,5,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,1,6,,0.43,1.0,False
Trimethoprim_Sulphamethoxazole,1,7,,0.39,1.0,False
Trimethoprim_Sulphamethoxazole,1,8,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,1,9,,0.56,1.0,False
Trimethoprim_Sulphamethoxazole,2,3,,0.18,0.8684536082474226,False
Trimethoprim_Sulphamethoxazole,2,4,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,2,5,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,2,6,,0.33,1.0,False
Trimethoprim_Sulphamethoxazole,2,7,,0.3,1.0,False
Trimethoprim_Sulphamethoxazole,2,8,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,2,9,,0.49,1.0,False
Trimethoprim_Sulphamethoxazole,3,4,,0.15,0.8068965517241379,False
Trimethoprim_Sulphamethoxazole,3,5,,0.38,1.0,False
Trimethoprim_Sulphamethoxazole,3,6,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,3,7,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,3,8,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,3,9,,0.42,1.0,False
Trimethoprim_Sulphamethoxazole,4,5,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,4,6,,0.29,1.0,False
Trimethoprim_Sulphamethoxazole,4,7,,0.26,1.0,False
Trimethoprim_Sulphamethoxazole,4,8,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,4,9,,0.23,1.0,False
Trimethoprim_Sulphamethoxazole,5,6,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,5,7,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,5,8,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,5,9,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,6,7,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,6,8,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,6,9,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,7,8,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,7,9,,1.0,1.0,False
Trimethoprim_Sulphamethoxazole,8,9,,1.0,1.0,False
Tulathromycin,1,2,,0.0,0.0,True
Tulathromycin,1,3,,0.0,0.0,True
Tulathromycin,1,4,,1.0,1.0,False
Tulathromycin,1,5,,1.0,1.0,False
Tulathromycin,1,6,,0.0,0.0,True
Tulathromycin,1,7,,0.0,0.0,True
Tulathromycin,1,8,,0.04,0.271304347826087,False
Tulathromycin,1,9,,0.0,0.0,True
Tulathromycin,2,3,,1.0,1.0,False
Tulathromycin,2,4,,0.0,0.0,True
Tulathromycin,2,5,,0.0,0.0,True
Tulathromycin,2,6,,1.0,1.0,False
Tulathromycin,2,7,,1.0,1.0,False
Tulathromycin,2,8,,1.0,1.0,False
Tulathromycin,2,9,,1.0,1.0,False
Tulathromycin,3,4,,0.0,0.0,True
Tulathromycin,3,5,,0.02,0.1376470588235294,False
Tulathromycin,3,6,,1.0,1.0,False
Tulathromycin,3,7,,1.0,1.0,False
Tulathromycin,3,8,,1.0,1.0,False
Tulathromycin,3,9,,1.0,1.0,False
Tulathromycin,4,5,,1.0,1.0,False
Tulathromycin,4,6,,0.0,0.0,True
Tulathromycin,4,7,,0.0,0.0,True
Tulathromycin,4,8,,0.06,0.37439999999999996,False
Tulathromycin,4,9,,0.0,0.0,True
Tulathromycin,5,6,,0.0,0.0,True
Tulathromycin,5,7,,0.0,0.0,True
Tulathromycin,5,8,,0.17,0.8463829787234043,False
Tulathromycin,5,9,,0.0,0.0,True
Tulathromycin,6,7,,1.0,1.0,False
Tulathromycin,6,8,,1.0,1.0,False
Tulathromycin,6,9,,1.0,1.0,False
Tulathromycin,7,8,,1.0,1.0,False
Tulathromycin,7,9,,1.0,1.0,False
Tulathromycin,8,9,,1.0,1.0,False
